id,code,commonName,className,order,scientificName
5189,MYRAET,Northern Anteater-Chat,AVES,Passeriformes,Myrmecocichla aethiops
5190,MYRNIG,Sooty Chat,AVES,Passeriformes,Myrmecocichla nigra
5216,OENFAM,Familiar Chat,AVES,Passeriformes,Oenanthe familiaris
5217,OENMEL,Eastern Black-eared Wheatear,AVES,Passeriformes,Oenanthe melanoleuca
5352,SHEGUN,East Coast Akalat,AVES,Passeriformes,Sheppardia gunningi
5374,TAUFIS,Fischer's Turaco,AVES,Musophagiformes,Tauraco fischeri
4892,ANTVIO,Orange-breasted Sunbird,AVES,Passeriformes,Anthobaphes violacea
4898,ARACHR,Yellow-eared Spiderhunter,AVES,Passeriformes,Arachnothera chrysogenys
4899,ARACRA,Thick-billed Spiderhunter,AVES,Passeriformes,Arachnothera crassirostris
4972,CINERY,Red-chested Sunbird,AVES,Passeriformes,Cinnyris erythrocercus
4973,CINGER,Western Miombo Sunbird,AVES,Passeriformes,Cinnyris gertrudis
4974,CINNEC,Black-bellied Sunbird,AVES,Passeriformes,Cinnyris nectarinioides
5012,CYACYA,Blue-throated Brown Sunbird,AVES,Passeriformes,Cyanomitra cyanolaema
5208,ODOCOL,Venezuelan Wood-Quail,AVES,Galliformes,Odontophorus columbianus
5224,ORISTE,Philippine Oriole,AVES,Passeriformes,Oriolus steerii
5225,ORITEN,Slender-billed Oriole,AVES,Passeriformes,Oriolus tenuirostris
5059,EUPAFR,Black Bustard,AVES,Accipitriformes,Eupodotis afra
5060,EUPCAE,Blue Bustard,AVES,Accipitriformes,Eupodotis caerulescens
4984,COLRUF,Rufous Shrikethrush,AVES,Passeriformes,Colluricincla rufogaster
5231,PACFLA,Samoan Whistler,AVES,Passeriformes,Pachycephala flavifrons
5232,PACFUL,Western Whistler,AVES,Passeriformes,Pachycephala fuliginosa
5233,PACLAN,White-breasted Whistler,AVES,Passeriformes,Pachycephala lanioides
5234,PACSOR,Sclater's Whistler,AVES,Passeriformes,Pachycephala soror
5021,DREALB,Black-billed Sicklebill,AVES,Passeriformes,Drepanornis albertisi
5072,FULRUF,Spectacled Fulvetta,AVES,Passeriformes,Fulvetta ruficapilla
5222,OREARF,Tit Berrypecker,AVES,Passeriformes,Oreocharis arfaki
5170,MELRUF,Rufous-bellied Tit,AVES,Passeriformes,Melaniparus rufiventris
